UserID,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J50,J51,J52,J53,J54,J55,J56,J57,J58,J59,J60,J61,J62,J63,J64,J65,J66,J67,J68,J69,J70,J71,J72,J73,J74,J75,J76,J77,J78,J79,J80,J81,J82,J83,J84,J85,J86,J87,J88,J89,J90,J91,J92,J93,J94,J95,J96,J97,J98,J99,J100
283,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259,0.5259
285,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681,2.681
286,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295
290,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633,-1.4633
291,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898,3.6898
292,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563,1.4563
302,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539,-2.5539
305,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485,3.6485
307,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066,2.5066
309,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958
310,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317,2.0317
312,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495,-0.3495
313,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995,-0.4995
315,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237,-0.0237
320,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294
321,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876,4.6876
324,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712
326,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313,2.4313
327,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615,1.2615
331,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491,3.7491
333,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216,2.0216
334,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478,2.0478
335,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858,-0.858
337,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207,-2.2207
344,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004,5.3004
358,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341,-6.341
